Printing in order 
[[1, 2, 3], [0, 8, 4], [7, 6, 5]]
[[0, 2, 3], [1, 8, 4], [7, 6, 5]]
[[2, 0, 3], [1, 8, 4], [7, 6, 5]]
[[2, 3, 0], [1, 8, 4], [7, 6, 5]]
[[2, 3, 4], [1, 8, 0], [7, 6, 5]]
[[2, 3, 4], [1, 0, 8], [7, 6, 5]]
[[2, 3, 4], [0, 1, 8], [7, 6, 5]]
[[0, 3, 4], [2, 1, 8], [7, 6, 5]]
[[3, 0, 4], [2, 1, 8], [7, 6, 5]]
[[3, 1, 4], [2, 0, 8], [7, 6, 5]]
[[3, 1, 4], [2, 8, 0], [7, 6, 5]]
[[3, 1, 0], [2, 8, 4], [7, 6, 5]]
[[3, 0, 1], [2, 8, 4], [7, 6, 5]]
[[0, 3, 1], [2, 8, 4], [7, 6, 5]]
[[2, 3, 1], [0, 8, 4], [7, 6, 5]]
[[2, 3, 1], [8, 0, 4], [7, 6, 5]]
